N_unmapped	4863985	4863985	4863985
N_multimapping	2255917	2255917	2255917
N_noFeature	5211406	39790867	39916367
N_ambiguous	3806004	942177	940865
FBgn0031081	38708	19546	19173
FBgn0052826	22	9	13
FBgn0031085	90	38	52
FBgn0062565	0	0	0
FBgn0031088	1	1	0
FBgn0041626	0	0	0
FBgn0040784	0	0	0
FBgn0031086	0	0	0
FBgn0031082	0	0	0
FBgn0031080	111	64	53
FBgn0052821	0	0	0
FBgn0053217	5062	2559	2503
FBgn0052350	4635	3904	3871
FBgn0024733	11537	5800	5741
FBgn0040372	9016	4538	4479
FBgn0000316	5869	3092	3306
FBgn0024989	319	169	157
FBgn0040371	94	42	52
FBgn0029521	64	40	50
FBgn0004034	805	361	444
FBgn0000022	0	0	0
FBgn0004170	0	0	0
FBgn0002561	32	10	22
FBgn0000137	0	0	0
FBgn0029522	0	502	484
FBgn0052817	48	401	436
FBgn0029524	78	35	50
FBgn0023536	1748	1065	1004
FBgn0023534	6737	3538	3207
FBgn0023535	99	353	319
FBgn0023537	1686	877	809
FBgn0029525	1236	660	597
FBgn0029523	517	927	943
FBgn0010019	258	165	93
FBgn0011822	0	0	0
FBgn0052816	35	47	23
FBgn0040370	15813	7773	8040
FBgn0040373	0	0	0
FBgn0000108	159592	80624	79009
FBgn0025640	568	467	409
FBgn0025635	1858	969	889
FBgn0001341	1143	530	613
FBgn0003575	3868	1930	1939
FBgn0025634	1395	740	655
FBgn0025638	8554	5225	5224
FBgn0040383	110	63	47
FBgn0040382	11133	5717	5420
FBgn0027343	0	0	1
FBgn0025621	2221	1227	1000
FBgn0029535	0	0	0
FBgn0026874	0	1	3
FBgn0025616	0	0	0
FBgn0015799	2301	1203	1104
FBgn0025620	0	1	0
FBgn0015288	4238	2204	2034
FBgn0029532	0	0	2
FBgn0029531	0	66	80
FBgn0025639	11063	6490	6467
FBgn0002579	7023	3530	3494
FBgn0026879	2800	1471	1642
FBgn0029529	1073	569	672
FBgn0025633	3651	1793	1864
FBgn0040892	201	99	102
FBgn0040341	0	15	19
FBgn0029539	0	0	0
FBgn0040339	666	473	440
FBgn0052815	17258	10303	10270
FBgn0040340	5507	2483	3025
FBgn0040347	225	1030	1209
FBgn0042146	0	0	0
FBgn0029552	0	0	0
FBgn0040337	463	248	240
FBgn0040398	78	33	45
FBgn0040365	0	2	0
FBgn0040397	2229	1206	1125
FBgn0026143	969	488	506
FBgn0040351	7216	4374	4661
FBgn0040338	0	0	0
FBgn0040350	0	2	1
FBgn0040349	0	0	0
FBgn0040348	9507	5840	5683
FBgn0040346	756	1977	2077
FBgn0040342	56	28	28
FBgn0040345	0	118	129
FBgn0040343	15	5	10
FBgn0052814	200	115	88
FBgn0040364	0	0	0
FBgn0040362	0	0	0
FBgn0040361	0	0	0
FBgn0040360	0	0	0
FBgn0040359	0	0	2
FBgn0040358	0	0	0
FBgn0029568	0	0	0
FBgn0040357	0	0	0
FBgn0040367	0	0	0
FBgn0025642	8	0	8
FBgn0004650	0	1	0
FBgn0024362	5034	2664	2371
FBgn0024361	72	42	30
FBgn0024364	1184	609	576
FBgn0029573	81	27	54
FBgn0024987	28876	14431	14448
FBgn0023169	8411	4425	4142
FBgn0052813	2862	1396	1516
FBgn0024985	19800	9937	9863
FBgn0027794	1322	618	704
FBgn0027795	0	0	0
FBgn0024986	1286	722	771
FBgn0000826	111	41	71
FBgn0024365	3633	1866	1770
FBgn0024360	1072	537	535
FBgn0024366	1	3	0
FBgn0025641	8022	4043	3979
FBgn0052811	3	3	0
FBgn0028550	1806	908	900
FBgn0026876	708	400	308
FBgn0040366	1063	533	533
