N_unmapped	5266949	5266949	5266949
N_multimapping	2019248	2019248	2019248
N_noFeature	4735268	36236764	36422618
N_ambiguous	3394612	858472	850125
FBgn0031081	51609	25328	26320
FBgn0052826	0	0	0
FBgn0031085	0	0	0
FBgn0062565	0	0	0
FBgn0031088	0	0	0
FBgn0041626	0	0	0
FBgn0040784	0	0	0
FBgn0031086	0	0	0
FBgn0031082	0	0	0
FBgn0031080	63	41	31
FBgn0052821	0	0	0
FBgn0053217	3349	1670	1679
FBgn0052350	4574	3238	3558
FBgn0024733	10259	5100	5159
FBgn0040372	8674	4394	4280
FBgn0000316	4652	2515	2474
FBgn0024989	506	317	200
FBgn0040371	333	208	125
FBgn0029521	121	75	92
FBgn0004034	1278	703	575
FBgn0000022	0	0	0
FBgn0004170	3	3	0
FBgn0002561	0	0	0
FBgn0000137	0	0	1
FBgn0029522	0	138	153
FBgn0052817	71	210	204
FBgn0029524	124	43	81
FBgn0023536	2215	1363	1276
FBgn0023534	7469	3671	3799
FBgn0023535	7	316	348
FBgn0023537	903	406	497
FBgn0029525	3	4	3
FBgn0029523	58	210	189
FBgn0010019	0	1	0
FBgn0011822	0	0	0
FBgn0052816	51	37	62
FBgn0040370	25599	13095	12506
FBgn0040373	0	0	0
FBgn0000108	165740	83291	82460
FBgn0025640	213	356	253
FBgn0025635	1959	981	978
FBgn0001341	590	335	256
FBgn0003575	5314	2699	2627
FBgn0025634	2154	1021	1133
FBgn0025638	6231	3493	3915
FBgn0040383	0	5	3
FBgn0040382	10936	5645	5293
FBgn0027343	322	176	149
FBgn0025621	3295	1632	1674
FBgn0029535	72	30	42
FBgn0026874	0	0	9
FBgn0025616	1	0	1
FBgn0015799	3232	1720	1523
FBgn0025620	0	0	0
FBgn0015288	5547	2888	2663
FBgn0029532	0	0	1
FBgn0029531	12	175	223
FBgn0025639	10389	5730	5830
FBgn0002579	7007	3667	3343
FBgn0026879	3005	1865	1536
FBgn0029529	375	221	203
FBgn0025633	2512	1358	1159
FBgn0040892	0	0	0
FBgn0040341	0	0	0
FBgn0029539	0	0	0
FBgn0040339	606	350	415
FBgn0052815	15548	9226	9610
FBgn0040340	5762	2951	2811
FBgn0040347	196	1033	1101
FBgn0042146	0	0	0
FBgn0029552	0	0	0
FBgn0040337	821	423	430
FBgn0040398	0	0	0
FBgn0040365	0	0	0
FBgn0040397	1556	793	805
FBgn0026143	1685	903	814
FBgn0040351	3235	2295	1861
FBgn0040338	0	0	0
FBgn0040350	0	0	0
FBgn0040349	0	0	0
FBgn0040348	9162	5387	5715
FBgn0040346	410	1953	1741
FBgn0040342	0	0	0
FBgn0040345	0	102	57
FBgn0040343	8	8	0
FBgn0052814	81	39	42
FBgn0040364	2	2	1
FBgn0040362	0	0	0
FBgn0040361	0	0	0
FBgn0040360	2	0	2
FBgn0040359	0	0	4
FBgn0040358	0	0	0
FBgn0029568	0	0	0
FBgn0040357	0	0	0
